,state,district,avg_job_score,job_count,avg_house_score,house_count,job_score_norm,house_score_norm
0,Johor,Ayer Hitam,0.5312892309583165,4,0.3172861485750814,2,0.3756051254395256,0.29215441624474137
1,Johor,Batu Pahat,0.46564964701784767,83,0.3344693734011987,9,0.2666609045743411,0.41935067294703776
2,Johor,Gelang Patah,0.8365868193957268,68,0.31256764681299715,125,0.8823177812433559,0.25722641131821034
3,Johor,Johor Bahru,0.5808118659157921,907,0.3130170733240753,1110,0.4577995050615272,0.2605532239770909
4,Johor,Kluang,0.5199838103205849,30,0.3347249878157678,19,0.3568411393050631,0.4212428204933425
5,Johor,Kota Tinggi,0.5601243718457324,8,0.32970859543598074,10,0.4234637767126115,0.3841097247377059
6,Johor,Masai,0.5319702219292706,57,0.3080733863210429,172,0.3767353890136229,0.2239583189195864
7,Johor,Mersing,0.5670911528641529,3,0.3104807702143564,3,0.43502677703081183,0.24177861882100293
8,Johor,Muar,0.5323902330037035,121,0.3394500086174595,11,0.3774324954928526,0.4562190816374194
9,Johor,Pasir Gudang,0.5406150074570044,150,0.35734724948523566,24,0.39108342974343235,0.5887007355013916
10,Johor,Pengerang,0.907491102477767,32,0.3602001704737204,8,1.0,0.6098190572410407
11,Johor,Pontian,0.5187566342982488,44,0.3255465617982985,2,0.354804354066767,0.35330089203375525
12,Johor,Segamat,0.391964079438285,17,0.3259943492880346,2,0.14436249457459283,0.35661557208182026
13,Johor,Senai,0.5748478734507302,175,0.3162941698148226,20,0.4479008665670894,0.2848114415522769
14,Johor,Tangkak,0.5746975107027501,10,0.32704381661234694,2,0.44765130446686807,0.36438409728792776
15,Johor,Ulu Tiram,0.5405476171546202,77,0.35132808062840826,48,0.39097157979639763,0.5441447365666745
16,Kedah,Alor Setar,0.4286195360349705,93,0.3561200202751387,23,0.20520078634385908,0.579616354471657
17,Kedah,Baling,0.3468097862135823,3,0.3270403442261509,1,0.06941839836361108,0.3643583934674619
18,Kedah,Bedong,0.4528710020253924,4,0.3263472749982629,1,0.24545175852493228,0.35922805196783125
19,Kedah,Gurun,0.5099700615067096,14,0.33025390840290836,4,0.34022098425568437,0.3881463225722981
20,Kedah,Jitra,0.4656162717291206,48,0.3484741837486431,7,0.2666055104872943,0.5230191909375006
21,Kedah,Karangan,0.4520276165863973,1,0.32753757563679275,2,0.24405196340094593,0.36803907475915487
22,Kedah,Kuala Kedah,0.4520276165863973,1,0.34143896511598737,2,0.24405196340094593,0.4709420352108329
23,Kedah,Kulim,0.5641292841944029,56,0.34609708718488635,54,0.4301108641751855,0.505423088471904
24,Kedah,Langkawi,0.5897956709560617,26,0.2945666949422174,2,0.4727102278565488,0.12397705223624866
25,Kedah,Lunas,0.5041010026303929,4,0.34313058368153765,14,0.3304799102252316,0.4834639891213155
26,Kedah,Padang Serai,0.49647206103084174,3,0.32792801338668387,4,0.3178178997630251,0.37092923191905713
27,Kedah,Pokok Sena,0.4246229210030308,2,0.3292980001122755,2,0.19856747021638876,0.3810703541467215
28,Kedah,Sungai Petani,0.5765198953809816,130,0.35180374214363797,121,0.4506759774914052,0.5476657499274844
29,Kelantan,Bachok,0.43258317214195285,3,0.33536221070129085,5,0.21177936624253635,0.4259597677802316
30,Kelantan,Kota Bharu,0.42671803451553536,199,0.32638069181951085,21,0.20204480044217055,0.3594754149987316
31,Kelantan,Kuala Krai,0.5207350313147814,4,0.32558475804645465,2,0.3580879660062276,0.3535836340588814
32,Kelantan,Pasir Mas,0.350627868852459,1,0.3089944838761003,1,0.07575539828531308,0.2307766060715335
33,Kelantan,Pasir Puteh,0.338272233277208,2,0.32652575088452895,2,0.05524833516528049,0.36054919307343836
34,Kelantan,Rantau Panjang,0.3973529411764706,1,0.3740542829925091,1,0.1533065692955612,0.7123720570507124
35,Kelantan,Tanah Merah,0.43652546326272157,5,0.31935087574800125,3,0.21832251915108314,0.307438250924466
36,Kelantan,Tumpat,0.30498476098310395,8,0.3276500761853345,1,0.0,0.36887184327590683
37,Melaka,Alor Gajah,0.48342895977715994,39,0.33076284427128183,19,0.29616982677955206,0.39191364436513476
38,Melaka,Ayer Keroh,0.4767669703410471,35,0.3650171308814488,27,0.2851126992817964,0.6454758875942681
39,Melaka,Bemban,0.4566666666666666,1,0.36503133469475324,5,0.25175155054348297,0.6455810292019408
40,Melaka,Durian Tunggal,0.42563278683022604,14,0.35320883456749924,23,0.200243578429109,0.5580667368460905
41,Melaka,Jasin,0.4031040437069312,13,0.3512421756133143,11,0.16285186721922063,0.5435088375161481
42,Melaka,Kuala Sungai Baru,0.4520276165863973,1,0.3487174967775378,2,0.24405196340094593,0.5248202793126739
43,Melaka,Masjid Tanah,0.5505001545180814,9,0.324653075014753,1,0.4074901401467693,0.34668698949625076
44,Melaka,Merlimau,0.4294968607051341,13,0.33564997118022655,5,0.20665691154909294,0.428089871769318
45,Melaka,Sungai Udang,0.5049454322248226,2,0.33802950656332076,4,0.33188143836904316,0.44570402723099933
46,Melaka,Tanjong Kling,0.43362987419187327,8,0.31106861533610086,6,0.21351661277063727,0.2461300545825229
47,Negeri Sembilan,Bandar Baru Enstek,0.49375108399743634,6,0.3713806170847149,1,0.31330180284252573,0.692580644287081
48,Negeri Sembilan,Batu Kikir,0.526194968553459,1,0.3229947638817004,1,0.3671500071212356,0.3344115888827739
49,Negeri Sembilan,Gemas,0.3917028985507246,1,0.3505479812346099,1,0.14392900388815044,0.5383701672555596
50,Negeri Sembilan,Kuala Pilah,0.4757372617964652,5,0.3267326979554977,2,0.2834036574449462,0.36208108787369264
51,Negeri Sembilan,Labu,0.4390554749598653,2,0.3437281535292995,5,0.22252166449263666,0.4878874107154938
52,Negeri Sembilan,Mantin,0.5236554813005312,14,0.3395481407507596,13,0.3629351348816704,0.4569454901052299
53,Negeri Sembilan,Nilai,0.5147808739876586,116,0.31249298930073616,91,0.34820565122037483,0.25667377022840343
54,Negeri Sembilan,Port Dickson,0.593992125765565,44,0.321984469882931,28,0.4796752247710925,0.3269330383712923
55,Negeri Sembilan,Rantau,0.4770276165863973,1,0.32466751823564477,2,0.2855453026046155,0.34679390328285065
56,Negeri Sembilan,Rembau,0.44844310763135137,13,0.3242617869535362,1,0.23810263356293349,0.3437905380336925
57,Negeri Sembilan,Seremban,0.4734196398582848,198,0.34066140067278583,79,0.2795570225158748,0.4651862304930994
58,Negeri Sembilan,Tampin,0.4246229210030308,2,0.33228330068506245,3,0.19856747021638876,0.40316859599784216
59,Pahang,Balok,0.5907619695048332,22,0.3269933918477298,1,0.47431402599479633,0.36401083549514457
60,Pahang,Bentong,0.5022825282833779,23,0.3037387933493829,4,0.32746172730867706,0.19187214150513343
61,Pahang,Genting Highlands,0.505629301899339,27,0.29150625649418366,6,0.33301647982407556,0.10132261348002602
62,Pahang,Kuala Lipis,0.4063517443909315,3,0.3032642708680421,4,0.16824218506374922,0.18835955967265328
63,Pahang,Kuantan,0.4773526071581578,207,0.3398277191230442,53,0.2860847003658976,0.4590150272712381
64,Pahang,Mentakab,0.476794997149732,14,0.41291058063921504,5,0.2851592163169787,1.0
65,Pahang,Pekan,0.5028663878654615,6,0.33998060340943886,2,0.32843077865614523,0.4601467303790532
66,Pahang,Temerloh,0.4730184484111606,16,0.35219982345423356,5,0.2788911516038294,0.5505976827030441
67,Perak,Ayer Tawar,0.45197706164614715,4,0.3247230210471702,1,0.24396805566957713,0.34720475455983335
68,Perak,Bagan Serai,0.4520276165863973,1,0.3496721576899531,2,0.24405196340094593,0.5318870142072005
69,Perak,Batu Gajah,0.5718899025806431,8,0.3556653604147106,1,0.4429914230204055,0.5762508027254358
70,Perak,Chemor,0.5612755136154489,25,0.36978753917893004,6,0.4253743653495059,0.6807881229005841
