Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Flat Taman Harmoni, Semenyih, Selangor",770,668,3,2,Flat,Partially Furnished,"Jalan Harmoni 2/5, Taman Harmoni, 43500 Semenyih, Selangor",Semenyih,Selangor,Parking,False
"Setia Pinnacle, Sungai Ara, Penang","1,650","1,095",3,2,Condominium,Fully Furnished,"Changkat Sungai Ara 6, Setia Greens, 11900 Sungai Ara, Penang",Sungai Ara,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Ulu Tiram, Johor","1,900","1,170",3,2,Terraced House,Partially Furnished,,,,,False
"Meridin Medini, Iskandar Puteri, Johor","1,700",550,1,1,Condominium,Fully Furnished,"Persiaran Medini Utara 3, Off Lebuh Medini Utama, 79100 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Puncak Erskine, Tanjong Tokong, Penang",900,650,3,2,Apartment,Not Furnished,"88, Jalan Fettes, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security",False
"Seksyen 19 Shah Alam, Shah Alam, Selangor","1,200",595,2,1,Flat,Fully Furnished,"Jalan Cangkul 19/3, 40300 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Playground, Jogging Track",False
"Block A Pangsapuri Laman Indah ,Taman Laman Indah,81300 Kangkar Pulai 1,Johor, Johor Bahru, Johor","1,200",850,3,2,Apartment,Partially Furnished,,,,,False
"The Arc @ Cyberjaya, Cyberjaya, Selangor","1,600",913,3,2,Service Residence,Fully Furnished,"Persiaran Bestari, Cyber 11, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Jogging Track",False
"Sunway Artessa, Wangsa Maju, Kuala Lumpur","3,200","1,109",4,2,Condominium,Partially Furnished,"Jalan Seri Wangsa 2, Taman Sri Rampai, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Kota Bharu, Kelantan",850,"1,100",3,2,Terraced House,Not Furnished,,,,Parking,False
"D'Sands Residence, Old Klang Road, Kuala Lumpur",600,650,1,1,Service Residence,Fully Furnished,"Jalan Kampung Pasir, Off Old Klang Road, 58200 Old Klang Road, Kuala Lumpur",Old Klang Road,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Camellia Serviced Suites, Bangsar South, Kuala Lumpur","2,200",638,1,1,Condominium,Fully Furnished,"Jalan 112H, Off Jalan Kerinchi, 59200 Bangsar South, Kuala Lumpur",Bangsar South,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Club house",False
"D'Carlton (Residensi Seri Mega), Masai, Johor","1,350",700,2,1,Service Residence,Fully Furnished,"Jalan Kempas 17, Taman Megah Ria, 81750 Masai, Johor",Masai,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"De Bayu Apartment, Setia Alam, Selangor","1,100",900,3,2,Apartment,Partially Furnished,"Persiaran Setia Makmur, Seksyen U13, 40170 Setia Alam, Selangor",Setia Alam,Selangor,"Parking, Security, Swimming Pool, Playground, Jogging Track, Tennis Court",False
"MH Platinum Residency, Setapak, Kuala Lumpur","1,700",800,3,2,Condominium,Partially Furnished,"Jalan Gombak Sejahtera, Taman Tai Onn, 53000 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Tennis Court, Squash Court",False
"Bandar Bukit Raja, Selangor","1,800","1,400",4,3,2-storey Terraced House,Partially Furnished,,,,"Parking, Playground",False
"Cristal Serin Residence, Cyberjaya, Selangor","2,500","1,518",3,2,Condominium,Partially Furnished,"Jalan Fauna 1, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Club house, Jogging Track, Tennis Court",False
"Indah Apartments (Taman Setapak Indah), Setapak, Kuala Lumpur","1,500",882,3,2,Apartment,Partially Furnished,"Jalan 1D/6, Taman Setapak Indah, 53300 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Playground, Jogging Track",False
"Taman Jade View, Gelugor, Penang","1,580",721,3,2,Condominium,Fully Furnished,"Off Jalan Bukit Gambier, Taman Jade View, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Squash Court",False
"Atlantis Residences, Melaka Tengah, Melaka","2,100","1,055",2,2,Service Residence,Fully Furnished,"Jalan KSB 11a, Taman Kota Syahbandar, 75200 Melaka Tengah, Melaka",Melaka Tengah,Melaka,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Hyde Tower @ i-City, Shah Alam, Selangor","1,700",719,2,1,Service Residence,Fully Furnished,"Jalan Plumbum 7/102, 40000 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Huni @ Eco Ardence, Setia Alam, Selangor","2,200","1,100",3,2,Service Residence,Fully Furnished,"Persiaran Setia Damai, 40170 Setia Alam, Selangor",Setia Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Sanderling, Lakefront Cyberjaya, Cyberjaya, Selangor","2,600","1,324",3,4,Condominium,Fully Furnished,"Persiaran Semarak Api, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Lido Four Seasons Residence, Kota Kinabalu, Sabah","2,300","1,000",3,2,Condominium,Fully Furnished,"Off Jalan Lintas, 88200 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Swimming Pool, Playground, Gymnasium, Club house",False
"Forest Hill (Kuching), Kuching, Sarawak","1,700","1,000",2,2,Apartment,Fully Furnished,"Jalan Datuk Temenggong Tan Meng Chong, 93150 Kuching, Sarawak",Kuching,Sarawak,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna",False
"MARC Residences, Bukit Mertajam, Penang","1,650",700,2,1,Service Residence,Fully Furnished,"Jalan Song Ban Kheng, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Lexa Residence @ The Quartz WM, Wangsa Maju, Kuala Lumpur","2,600",850,3,2,Service Residence,Fully Furnished,"Jalan 34/26, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",False
"Zen Suites @ Zetapark, Setapak, Kuala Lumpur","1,400",618,1,1,Service Residence,Partially Furnished,"Jalan Genting Klang, Taman Danau Kota, 53100 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Taman Sri Setia, Tanjung Bungah, Penang",850,700,3,2,Apartment,Partially Furnished,"Lintang Lembah Permai 2, Taman Seri Setia, 11200 Tanjung Bungah, Penang",Tanjung Bungah,Penang,Parking,False
"Taman Telipok Ria Fasa 1 & Fasa 2, Tuaran, Sabah",750,609,3,2,Apartment,Fully Furnished,"Off Jalan Telipok Lama, Taman Telipok Ria, Telipok, 89200 Tuaran, Sabah",Tuaran,Sabah,"Parking, Playground",False
"Flora Residency, Setapak, Kuala Lumpur","1,500",800,3,2,Condominium,Partially Furnished,"Jalan 1/21c, Off Jalan Gombak, 53000 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Setia Seraya Residence, Putrajaya, Putrajaya","3,000","1,200",4,3,Condominium,Fully Furnished,"Jalan P15 H, Presint 15, 62050 Putrajaya, Putrajaya",Putrajaya,Putrajaya,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Vista Bangi, Kajang, Selangor","2,200","1,000",3,2,Service Residence,Fully Furnished,"Jalan Reko, Kampung Sungai Tangkas, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Leader Garden, Tanjung Bungah, Penang","1,400","1,100",3,2,Apartment,Fully Furnished,"No 1, Jalan Chee Seng 13, 11200 Tanjung Bungah, Penang",Tanjung Bungah,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna",False
"Metropol, Bukit Mertajam, Penang","2,000",810,2,2,Condominium,Fully Furnished,"Jalan Perda Utara 1, Bandar Baru Perda, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Swimming Pool, Gymnasium, Sauna, Barbeque area",False
"Menara U, Shah Alam, Selangor","1,650",527,2,1,Condominium,Fully Furnished,"Jalan Akuatik, Seksyen 13, 40100 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track, Squash Court",False
"Orchard Ville, Bayan Lepas, Penang","1,600","1,100",3,2,Condominium,Fully Furnished,"Lengkuk Kelicap, Mutiara Perdana, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Bay Point @ Country Garden Danga Bay, Johor Bahru, Johor","2,050",850,2,1,Apartment,Fully Furnished,"Off Lebuh Skudai, 80200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",False
"Eco Bloom @ Eco Meadows, Simpang Ampat, Penang","1,300",802,2,2,Condominium,Fully Furnished,"Jalan Eco Meadows Off Jalan Paboi, 14100 Simpang Ampat, Penang",Simpang Ampat,Penang,"Parking, Security, Lift, Swimming Pool, Gymnasium, Barbeque area",False
"Desari Apartments, Ayer Itam, Penang","1,200","1,000",3,2,Apartment,Fully Furnished,"Jalan Taman Lintang, Off Jalan Bukit Bendera, 11500 Ayer Itam, Penang",Ayer Itam,Penang,"Parking, Security, Swimming Pool, Playground, Barbeque area, Squash Court",False
"Sepang, Selangor","2,250","1,902",4,4,2-storey Terraced House,Partially Furnished,,,,"Parking, Security, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Club house",False
"Mercu Summer Suites @ Kuala Lumpur, KL City, Kuala Lumpur","2,700","1,132",2,2,Apartment,Fully Furnished,"Jalan Cendana, Off Jalan Sultan Ismail, 50250 KL City, Kuala Lumpur",KL City,Kuala Lumpur,"Lift, Swimming Pool, Gymnasium, Sauna",False
"Dutamas Residence, Bukit Mertajam, Penang","1,400","1,225",3,2,Condominium,Partially Furnished,"Jalan Tan Sai Gin, Taman Tan Sai Gin, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna",False
"M Condominium @ Larkin, Johor Bahru, Johor","2,300",951,3,2,Condominium,Fully Furnished,"Jalan Larkin Perdana 2, Off Jalan Dewata, Taman Larkin Perdana, 80350 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Selayang Point, Selayang, Selangor","1,300","1,089",3,2,Condominium,Partially Furnished,"Jalan SP1, Taman Selayang Jaya, 68100 Selayang, Selangor",Selayang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",False
"Starhill Luxury Residences, Gelugor, Penang","3,000","1,715",4,3,Condominium,Fully Furnished,"Halaman Bukit Gambir 8, Sunway Bukit Gambier, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Garden Plaza @ Cyberjaya, Cyberjaya, Selangor","1,450",450,1,1,Service Residence,Fully Furnished,"Persiaran Harmoni, Cyber 3, 62000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Desa Mentari, Petaling Jaya, Selangor",900,800,3,2,Apartment,Partially Furnished,"Jalan PJS 2B/1, 46150 Petaling Jaya, Selangor",Petaling Jaya,Selangor,"Playground, Minimart",False
"Samajaya Apartment, Kuching, Sarawak",950,900,3,2,Apartment,Not Furnished,"Lorong Usahajaya 1, Taman Muara Tabuan, 93350 Kuching, Sarawak",Kuching,Sarawak,"Parking, Playground",False
"Kajang, Selangor","1,700","1,400",4,3,2-storey Terraced House,Partially Furnished,,,,,False
"Taman Bukit Jambul, Bayan Lepas, Penang",950,550,2,2,Flat,Not Furnished,"Jalan Bukit Gambier, Taman Bukit Jambul, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Playground, Minimart",False
"Sutera Avenue The Residences, Kota Kinabalu, Sabah","2,200",726,2,1,Condominium,Partially Furnished,"Off Jalan Coastal, Sutera Avenue, 88000 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Pusat Komersial Seksyen 7, Shah Alam, Selangor","1,500",900,3,2,Apartment,Fully Furnished,"Off Persiaran Permai, Seksyen 7, 40000 Shah Alam, Selangor",Shah Alam,Selangor,Minimart,False
"Green Haven @ Kota Puteri, Masai, Johor","2,000",760,1,1,Service Residence,Fully Furnished,"Jalan Mersawa 16, Taman Cahaya, 81750 Masai, Johor",Masai,Johor,"Parking, Security, Lift, Swimming Pool, Gymnasium, Barbeque area",False
"Citizen 2 @ Old Klang Road, Old Klang Road, Kuala Lumpur","1,999",725,2,2,Service Residence,Fully Furnished,"2, Jln. Nusantara Petaling, Taman Sri Sentosa, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, 58000 Old Klang Road, Kuala Lumpur",Old Klang Road,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Heritage (Setapak), Setapak, Kuala Lumpur","1,100",575,1,1,Condominium,Partially Furnished,"442, Jalan Pahang, Setapak, 53000 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Seruling Apartment, Setia Alam, Selangor","1,300","1,000",3,2,Condominium,Not Furnished,,,,"Parking, Security, Lift, Playground",False
"Pangsapuri Tainia, Kota Damansara, Selangor","1,350",800,3,2,Apartment,Partially Furnished,"Jalan Kenyalang 11/3a, Seksyen 11, 47810 Kota Damansara, Selangor",Kota Damansara,Selangor,"Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track",False
"Majestic Maxim, Cheras, Kuala Lumpur","1,900",819,3,2,Service Residence,Partially Furnished,"Jalan 9/142, Taman Connaught, 56000 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Vivo Residence 9 Seputeh, Old Klang Road, Kuala Lumpur","4,600","1,388",3,3,Condominium,Fully Furnished,,,,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"TreeO, Sungai Ara, Penang","1,800",900,3,2,Condominium,Fully Furnished,"Jalan Sungai Ara 10, 11900 Sungai Ara, Penang",Sungai Ara,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Core Soho Suite, Sepang, Selangor","1,300",450,1,1,Service Residence,Fully Furnished,"Jalan Warisan Sentral 4, Kota Warisan, 43900 Sepang, Selangor",Sepang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Juru, Penang","1,700","1,320",4,4,2-storey Terraced House,Partially Furnished,,,,,False
"Sky Park, Cyberjaya, Cyberjaya, Selangor","1,300",750,4,1,Service Residence,Fully Furnished,"Jalan Teknokrat 1, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Landmark II, Bandar Sungai Long, Selangor","2,300","1,163",3,2,Service Residence,Fully Furnished,"Jalan Landmark Residence, Off Jalan Sungai Long, 43000 Bandar Sungai Long, Selangor",Bandar Sungai Long,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",False
"The Greens (Residensi Hijauan) @ Subang West, Shah Alam, Selangor","1,800",915,3,2,Condominium,Partially Furnished,"Jalan Budiman 22/3, 40300 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Batu Caves, Selangor","1,350",770,3,2,2-storey Terraced House,Partially Furnished,,,,Parking,False
"MJC SOHO, Kuching, Sarawak",800,700,2,1,Apartment,Partially Furnished,"Off Jalan Batu Kawa, Bandar Baru Batu Kawa, 93250 Kuching, Sarawak",Kuching,Sarawak,Minimart,False
"Pan Vista, Masai, Johor","1,900","1,000",3,2,Condominium,Fully Furnished,"Jalan Permas 7, Bandar Baru Permas Jaya, 81750 Masai, Johor",Masai,Johor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Marriott Residences, Georgetown, Penang","5,500",957,2,2,Service Residence,Fully Furnished,"Persiaran Gurney, 10250 Georgetown, Penang",Georgetown,Penang,"Parking, Security, Swimming Pool, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court",False
"Suria Magna, Kepong, Kuala Lumpur",850,650,3,2,Apartment,Not Furnished,"Jalan Prima 3, Metro Prima, 52100 Kepong, Kuala Lumpur",Kepong,Kuala Lumpur,"Lift, Playground",False
"Kubang Semang, Penang","1,200","1,300",4,3,2-storey Terraced House,Partially Furnished,,,,,False
"Irama Wangsa, Wangsa Maju, Kuala Lumpur","2,800","1,206",3,2,Condominium,Fully Furnished,"Jalan 3/27E, Seksyen 10 Wangsa Maju, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area",False
"Rafflesia Sentul Condominium, Sentul, Kuala Lumpur","2,100","1,290",3,2,Condominium,Fully Furnished,"Jalan 6/48a, Bandar Baru Sentul, 51000 Sentul, Kuala Lumpur",Sentul,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart",False
"Ameera Residence, Kajang, Selangor","1,300","1,250",3,2,Condominium,Partially Furnished,"Jalan Mutiara 3, Mutiara Heights, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"Alstonia Hilltop Homes @ BRP, Sungai Buloh, Selangor","2,300","1,001",3,2,Condominium,Partially Furnished,"Bukit Rahman Putra, 47000 Sungai Buloh, Selangor",Sungai Buloh,Selangor,"Security, Swimming Pool, Playground, Gymnasium, Jogging Track",False
"Bayan Lepas, Penang","5,800","3,555",5,6,2.5-storey Terraced House,Fully Furnished,,,,,False
"Cheng, Melaka","2,300","1,400",4,3,2-storey Terraced House,Fully Furnished,,,,"Parking, Security, Playground, Minimart, Jogging Track",False
"The Clovers, Sungai Ara, Penang","2,000","1,598",4,3,Condominium,Fully Furnished,"No.1, Lengkok Merbah 3, Taman Sri Bayan, 11900 Sungai Ara, Penang",Sungai Ara,Penang,"Parking, Security, Lift, Swimming Pool, Gymnasium",False
"Segambut, Kuala Lumpur","2,500","1,800",4,3,2-storey Terraced House,Fully Furnished,,,,,False
"Residensi Emas, Kajang, Selangor","1,100",930,3,3,Condominium,Partially Furnished,,,,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Symphony Tower, Balakong, Selangor","1,400",486,1,1,Service Residence,Fully Furnished,"Jalan Simfoni 2, Off Lebuhraya SILK, 43200 Balakong, Selangor",Balakong,Selangor,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna",False
"Gravit8, Port Klang, Selangor","1,800",792,2,2,Service Residence,Fully Furnished,"Jalan Bayu Laut/KS 9, Kota Bayuemas, 41200 Port Klang, Selangor",Port Klang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",False
"Starville, Subang Jaya, Selangor","1,600",920,3,2,Apartment,Not Furnished,"Jalan USJ 19/6, USJ19, 47630 Subang Jaya, Selangor",Subang Jaya,Selangor,"Parking, Security, Lift, Playground, Barbeque area, Minimart",False
"Puchong Permata 2, Puchong, Selangor","1,250","1,200",3,1,Apartment,Fully Furnished,"Jalan Puchong Permai 1, Taman Puchong Permai, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Lift, Playground",False
"Pavilion, Puchong, Selangor","2,500",990,3,2,Service Residence,Fully Furnished,"Jalan Puteri 7/13, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Cube 8 Teens, Johor Bahru, Johor","1,650",650,1,1,Service Residence,Fully Furnished,"Persiaran Jaya Putra, Taman Jaya Putra, 81100 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Gymnasium",False
"Amara Service Residences, Batu Caves, Selangor",999,900,3,2,Service Residence,Partially Furnished,"Jalan Station, 68100 Batu Caves, Selangor",Batu Caves,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"E Island Lake Haven, Puchong, Selangor","1,200",900,3,2,Condominium,Partially Furnished,"Jalan Putra Perdana 14, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track",False
"One City Residence, Juru, Penang","1,300",950,3,2,Condominium,Partially Furnished,"Jalan Perniagaan, Taman Seri Juru, 14100 Juru, Penang",Juru,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",False
"Almas Suites @ Puteri Harbour, Iskandar Puteri, Johor","1,800",517,1,1,Service Residence,Fully Furnished,"Persiaran Dato' Seri Amar, Iskandar Puteri, 79100 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Swimming Pool, Playground, Barbeque area, Multipurpose hall",False
"Tropicana Bay Residences @ PWC, Bayan Lepas, Penang","1,800",615,2,1,Condominium,Fully Furnished,"Off Persiaran Byan Indah, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Seremban Putra Apartments, Seremban, Negeri Sembilan",750,849,3,2,Apartment,Partially Furnished,"Jalan Sikamat, 70400 Seremban, Negeri Sembilan",Seremban,Negeri Sembilan,"Parking, Playground, Minimart, Jogging Track",False
"Pangsapuri Flora II, Shah Alam, Selangor",650,850,3,2,Apartment,Not Furnished,"Jalan Asteroid U5/30, 40150 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Playground",False
"Taman Puncak Kinrara, Puchong, Selangor","1,000",900,3,2,Apartment,Partially Furnished,"Taman Puncak Kinrara, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Playground",False
"Desa Green, Taman Desa, Kuala Lumpur","2,000",935,3,2,Service Residence,Fully Furnished,"Jalan Desa Bakti, Off Taman Desa, 58100 Taman Desa, Kuala Lumpur",Taman Desa,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",False
"Tanjung Park Condominium, Tanjong Tokong, Penang","1,800","1,000",3,2,Condominium,Fully Furnished,"Persiaran Lengkuas 2, Taman Seri Tanjung, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Bay Suites, Kota Kinabalu, Sabah","2,400",825,2,2,Service Residence,Fully Furnished,"Jalan Bayu 21, Off Jalan Istiadat, 88400 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Putra Marine, Bayan Lepas, Penang","5,000","3,680",5,5,Condominium,Fully Furnished,"Persiaran Bayan Indah, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court, Squash Court",False
"Midas @ Seri Alam, Masai, Johor","1,900",904,3,3,Service Residence,Partially Furnished,"Persiaran Seri Alam, Bandar Baru Seri Alam, 81750 Masai, Johor",Masai,Johor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track",False
"Ascenda Residences @ SkyArena, Setapak, Kuala Lumpur","2,200",903,3,2,Condominium,Fully Furnished,"Jalan Arena 1, Taman Ayer Panas, 53200 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Casa Magna, Kepong, Kuala Lumpur","1,500",930,3,2,Condominium,Partially Furnished,"No. 2, Jalan Prima 10, Metro Prima, 52100 Kepong, Kuala Lumpur",Kepong,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Barbeque area",False
"Setapak, Kuala Lumpur","1,400","1,000",3,2,Others,Not Furnished,,,,"Parking, Security, Playground",False
"Liberty Arc @ Ampang Ukay, Ampang, Selangor","1,700",450,1,1,Condominium,Fully Furnished,"Jalan Ukay, Persiaran Ampang Ukay, 68000 Ampang, Selangor",Ampang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"OUG Parklane, OUG, Kuala Lumpur","1,850","1,300",3,2,Service Residence,Fully Furnished,"Jalan 1/152, Off Jalan Puchong, 58200 OUG, Kuala Lumpur",OUG,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Minimart",False
"Apartment Harmoni, Damansara Damai, Selangor",850,650,3,2,Apartment,Partially Furnished,"Jalan Pju 10/4C, 47830 Damansara Damai, Selangor",Damansara Damai,Selangor,"Parking, Playground, Minimart",False
"Pangsapuri Sri Abadi, Sungai Ara, Penang","1,100",780,3,2,Apartment,Partially Furnished,"Lintang Sungai Ara 2, Off Persiaran Relau, 11900 Sungai Ara, Penang",Sungai Ara,Penang,"Parking, Security, Swimming Pool, Playground",False
"3 Towers, Ampang Hilir, Kuala Lumpur","1,500",420,1,1,Service Residence,Fully Furnished,"Jalan Ampang, Kampung Berembang, 55000 Ampang Hilir, Kuala Lumpur",Ampang Hilir,Kuala Lumpur,"Security, Lift, Swimming Pool, Gymnasium",False
"Waterside Residence, Gelugor, Penang","3,800","1,270",3,2,Condominium,Fully Furnished,"Jalan Pantai Sinaran, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",False
"Taman Paya Terubong, Paya Terubong, Penang",600,500,2,1,Apartment,Partially Furnished,"Tingkat Paya Terubong 2, 11060 Paya Terubong, Penang",Paya Terubong,Penang,Parking,False
"Riverville Residences, Old Klang Road, Kuala Lumpur","2,300","1,210",3,2,Condominium,Fully Furnished,"Jalan Taman Sri Sentosa, Taman Sri Sentosa, 58000 Old Klang Road, Kuala Lumpur",Old Klang Road,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"Vista Danau Kota, Setapak, Kuala Lumpur","1,900",810,3,2,Apartment,Partially Furnished,"Jalan Danau Saujana 1, Taman Danau Kota, 53300 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Taman Terubong Indah (Majestic Heights), Ayer Itam, Penang",900,700,3,1,Flat,Partially Furnished,"Tingkat Paya Terubong 5, Taman Terubong Indah, 11060 Ayer Itam, Penang",Ayer Itam,Penang,"Security, Playground, Minimart",False
