Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"PV9 Residences @ Taman Melati, Setapak, Kuala Lumpur","2,700","1,000",3,2,Service Residence,Fully Furnished,"Jalan Kampung Wira Jaya, 53100 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Club house, Jogging Track",False
"28 Boulevard, Pandan Perdana, Kuala Lumpur","1,800",450,1,1,Service Residence,Fully Furnished,"28, Jalan Perdana 3/10, Pandan Perdana, 55300 Pandan Perdana, Kuala Lumpur",Pandan Perdana,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Pelagos Designer Suites, Kota Kinabalu, Sabah","2,600",780,1,2,Condominium,Fully Furnished,"Jalan Tun Fuad Stephen, 88000 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",False
"Sri Kinabalu, Wangsa Maju, Kuala Lumpur","2,100","1,104",4,2,Apartment,Partially Furnished,"Jalan 4/27e, Seksyen 10, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Tennis Court",False
"Pangsapuri Sri Kemuning, Shah Alam, Selangor",850,750,3,2,Apartment,Not Furnished,"No 3, Jalan Anggerik Aranda 31/42, Section 31, 40460 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Playground, Multipurpose hall",False
"Sunway Avila Residences, Wangsa Maju, Kuala Lumpur","4,000","1,300",4,3,Service Residence,Fully Furnished,"Jalan Seri Wangsa 1, Taman Sri Rampai, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"Cyberia Crescent 1, Cyberjaya, Selangor","1,700","1,200",3,2,Condominium,Partially Furnished,"Jalan Fauna 1, Off Persiaran Bestari, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The M @ Medini Macrolink, Iskandar Puteri, Johor","1,500",743,2,2,Service Residence,Fully Furnished,"Persiaran Medini Sentral 1, 79250 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track",False
"Sri Damansara, Kuala Lumpur","2,250","1,650",4,3,2-storey Terraced House,Not Furnished,,,,"Parking, Security",False
"LakeFront Residence, Cyberjaya, Selangor","2,599","1,010",3,2,Condominium,Fully Furnished,"Off Persiaran Bestari, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track",False
