job_id,title,company,location,salary,date_posted,contractType,source
2da0a99d6ad0496c8bd4f15c4b03ae60,E-Commerce Clerk,YEOH YEN KEONG SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
5440650638914c999e3153444f42cef0,Area Manager (F&B),AGENSI PEKERJAAN EMA SDN. BHD.,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",8000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
b88486b5fa0c485d9bebdc62a52db81e,PAPER MILL MACHINERY ENGINEER,Lopie Paper (Malaysia) Sdn Bhd,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",5000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
26b53f19410c4efbbdf72404083e8a9b,REPAIR & MAINTENANCE COORDINATOR,GLOBONUS SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_gurun', 'POSTAL_CODE': 'MY_08300'}",3000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
d115c617ae04434ab504f3ae7faed87b,Pembantu Kafe,PROWHEELS (M) SDN. BHD.,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05250'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
0750601a694e440693e71c44bb92d9db,Interior Designer,SPACE UP DESIGN SDN BHD ,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
4f377a35765b4ba4a0b7cf71363c147a,CASHIER (CAFETERIA),KAPITAN TANDOORI HOUSE SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_lunas', 'POSTAL_CODE': 'MY_09600'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
ffff390ab71046ea80f5c0653089d7c0,Marketing Executive ,SPACE UP DESIGN SDN BHD ,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
d2c2a90f0f9343d1b3f716e9866240bc,INTERNSHIP BIZ ADMIN (PELAJAR SAHAJA),MUMMY RQ SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",300,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
8ca0d1938c9d4707a25e5fd80d8af20e,INTERNSHIP DIGITAL GRAPHIC DESIGNER (PELAJAR SAHAJA),MUMMY RQ SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",300,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
5491f146a70e401c93893b947833cb50,INTERNSHIP FOOD PRODUCTION (PELAJAR SAHAJA),MUMMY RQ SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",300,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
57f05db1fc674652acc4544477388005,INTERNSHIP PRODUCTION RELIABILITY (STUDENT ONLY),MUMMY RQ SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",300,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
873e03b0e286406c80e088c630177380,Finance Executive,Poliklinik Dr. Azhar Dan Rakan-Rakan,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
4e71618001594e5085c74639acbb45e5,PEKERJA SAMBILAN BUTIK TELEKUNG,KalistaClara Sdn Bhd,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",45,,"{'id': '3', 'name': 'Part-time'}",MyFutureJobs
4c8769eb56a140708e03e9b6df1dd1c0,PEMBANTU TADBIR DIPERLUKAN SEGERA,JURUKUR MUAMMAR SDN.BHD.,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1700,,"{'id': '2', 'name': 'Temporary'}",MyFutureJobs
8baf45a66e0b400f9ac86ffb98031cd3,HR & ADMIN ASSISTANT,TAMAN BUAYA LANGKAWI SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_langkawi', 'POSTAL_CODE': 'MY_07000'}",1800,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
acee3544aa0b4d5db9045695d0cf52f0,ADMIN SALES EXECUTIVES,KalistaClara Sdn Bhd,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
ea466e2133004b5fbe1c3194add3b4f8,Salesperson,MEDILIN GROUP SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
df8d60d03a3f4900835dc87d4e358cda,Pizza Maker / Pizza Cook,IKHWAN HANIF,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_jitra', 'POSTAL_CODE': 'MY_06000'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
1286c83a937640f88f581be6475e1d2d,MEKANIK KERETA ,KOPERASI KELUARGA HAJI HUSSAIN KULIM BERHAD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_kulim', 'POSTAL_CODE': 'MY_09000'}",1800,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
8dc631d6a8084fac9f0bc8caafd22932,Technician,G PEL AUTOMATION SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_star', 'POSTAL_CODE': 'MY_05150'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
03861b55b31d479196c0acd16f0152d1,Security,HIG HOLDINGS (LANGKAWI) SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_langkawi', 'POSTAL_CODE': 'MY_07000'}",1700,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
a4d8375a26064e96906f569aa5f59ed7,Telemarketer,AL RIDZUAN HARAMAIN SDN.BHD. ,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1700,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
ad436f78be40419bb565bfde4d5f6ae4,Customer Relationship Executive (Automotive),INDAH UTARA AUTO SERVICE CENTRE SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05300'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
d51c3b1fd8ef4657b7ecd65a62a31136,Chef,IKHWAN HANIF,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_jitra', 'POSTAL_CODE': 'MY_06000'}",3000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
e148bf80d02d425598132e450ae0375d,Nutrition Director,TRUE SUNVIEW SDN. BHD.,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_langkawi', 'POSTAL_CODE': 'MY_07000'}",6000,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
6333a8aad57044238e0518c5ef74d620,INTERNSHIP (TOURISM/ OTHERS),TAMAN BUAYA LANGKAWI SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_langkawi', 'POSTAL_CODE': 'MY_07000'}",500,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
06b7bd12d05a43dda6c2763b76695642,INTERNSHIP (ACCOUNTING/ BUSINESS MANAGEMENT/ RELATED),TAMAN BUAYA LANGKAWI SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_langkawi', 'POSTAL_CODE': 'MY_07000'}",500,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
27aea9030ea74d739eb13692d0bb4ddd,HOSTLIVE & CONTENT CREATOR (WORK FROM OFFICE),KalistaClara Sdn Bhd,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
bfae87a6bbc34d6ca78788f6c7d0ae02,Resident Doctor,MEDILIN GROUP SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",8000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
8f1bac594879438db2f1ff8be58c26f6,Mandarin Teacher  (Part Time),PUSAT BAHASA TITIAN JAYA (SUNGAI PETANI) SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
f949337501a54fae845305b4e231210d,Admin Clerk,KELAB SUNGAI PETANI,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
d614dfe01ed446b7b7b0c3bd3511a7da,Engineering Manager,AIC Semiconductor Sdn Bhd,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_kulim', 'POSTAL_CODE': 'MY_09000'}",13000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
514ac95a98f94ca68c40bf2654c2ef9a,pembantu gudang,A&A MEGA EMPIRE,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_kulim', 'POSTAL_CODE': 'MY_09000'}",1700,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
