Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Taman Cheras Intan, Cheras, Selangor",1000,850,3.0,2.0,Apartment,Not Furnished,"Jalan Cheras Intan, Taman Cheras Intan, Batu 9th Cheras, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift",False
"City Residence, Tanjong Tokong, Penang",4700,1250,3.0,3.0,Condominium,Fully Furnished,"Persiaran Lengkuas 2, Kampung Belachan, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track, Tennis Court, Squash Court",False
"Alanis @ Warisan Puteri, Sepang, Selangor",1500,450,1.0,1.0,Service Residence,Fully Furnished,"Warisan Puteri, Persiaran Warisan, 43900 Sepang, Selangor",Sepang,Selangor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Tiara Faber, Taman Desa, Kuala Lumpur",1900,1250,3.0,2.0,Condominium,Fully Furnished,"Jalan Desa Bakti 1, Taman Desa, 58100 Taman Desa, Kuala Lumpur",Taman Desa,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"D'Erica Residence, Damansara Perdana, Selangor",2150,1000,3.0,2.0,Service Residence,Partially Furnished,"Jalan PJU 8/8, 47820 Damansara Perdana, Selangor",Damansara Perdana,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"KSL Avery Park, Masai, Johor",1500,1000,1.0,1.0,Service Residence,Fully Furnished,"Jalan Rinting, Taman Rinting, 81750 Masai, Johor",Masai,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Club house",False
"Vivo Executive Apartment, Batu Kawan, Penang",1500,730,2.0,2.0,Apartment,Fully Furnished,"Persiaran Cassia Barat 7, Bandar Cassia, 14110 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"One Sentral Serviced Residence, Iskandar Puteri, Johor",2500,1234,4.0,3.0,Service Residence,Fully Furnished,"Jalan Sentral 1, Taman Nusa Sentral, 79100 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Sri Pandan, Ampang, Selangor",1500,978,3.0,2.0,Condominium,Not Furnished,"Jalan Pandan Mewah, Taman Pandan Mewah, 68000 Ampang, Selangor",Ampang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart",False
"Imperio Residence, Melaka Raya, Melaka",1200,450,1.0,1.0,Service Residence,Fully Furnished,"Off Jalan Syed Abdul Aziz, 75000 Melaka Raya, Melaka",Melaka Raya,Melaka,"Parking, Security, Swimming Pool, Multipurpose hall",False
"Fiera Vista, Bayan Lepas, Penang",2300,1450,3.0,2.0,Condominium,Fully Furnished,"Medan Rajawali, Off Jalan Tun Dr Awang, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Larkin Heights Apartment, Johor Bahru, Johor",2100,1000,3.0,2.0,Apartment,Fully Furnished,"Jalan Dato Jaafar, Larkin, 80350 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart",False
"D'summit, Johor Bahru, Johor",1300,1000,1.0,1.0,Others,Fully Furnished,"D'summit, Johor Bahru, Johor",Johor Bahru,Johor,None,False
"The Aliff Residences, Johor Bahru, Johor",1700,1000,3.0,2.0,Service Residence,Fully Furnished,"Jalan Tahana, Kawasan Perindustrian Tampoi, 81200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",False
"Aera Residence, Petaling Jaya, Selangor",2500,718,2.0,1.0,Service Residence,Fully Furnished,"Jalan PJS 5/28, 46150 Petaling Jaya, Selangor",Petaling Jaya,Selangor,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall",False
"Arte S, Gelugor, Penang",2100,700,2.0,2.0,Service Residence,Fully Furnished,"Persiaran Bukit Gambir, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna",False
"Kubang Kerian, Kelantan",900,1500,3.0,2.0,2-storey Terraced House,Partially Furnished,"Kubang Kerian, Kelantan",Kubang Kerian,Kelantan,Parking,False
"Kulai, Johor",1700,1540,3.0,2.0,1-storey Terraced House,Partially Furnished,"Kulai, Johor",Kulai,Johor,None,False
