Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Kota Bharu City Point, Kota Bharu, Kelantan",400,450,1.0,1.0,Apartment,Partially Furnished,"Jalan Hilir Pasar, Bandar Kota Bharu, 15000 Kota Bharu, Kelantan",Kota Bharu,Kelantan,None,False
"Desa Pinang 2, Jelutong, Penang",1300,650,3.0,1.0,Apartment,Not Furnished,"Lebuh Sungai Pinang 7, 11600 Jelutong, Penang",Jelutong,Penang,"Parking, Security, Lift, Playground",False
"Ipoh, Perak",650,9662,3.0,2.0,2-storey Terraced House,Not Furnished,"Ipoh, Perak",Ipoh,Perak,Parking,False
"Kota Kinabalu, Sabah",2300,3000,3.0,2.0,1-storey Terraced House,Not Furnished,"Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Playground, Minimart, Multipurpose hall, Jogging Track",False
"Ivory Residence, Kajang, Selangor",1200,1280,3.0,2.0,Condominium,Partially Furnished,"Jalan Mutiara 2, Mutiara Heights, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Meridin Medini, Iskandar Puteri, Johor",2100,1000,2.0,2.0,Condominium,Fully Furnished,"Persiaran Medini Utara 3, Off Lebuh Medini Utama, 79100 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Akasia Apartment @ Setia Alam, Shah Alam, Selangor",900,650,3.0,2.0,Apartment,Not Furnished,"Persiaran Setia Prima, Seksyen U3, Setia Alam, 40170 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Playground, Minimart, Multipurpose hall",False
"Prima Indah (The Armanna), Shah Alam, Selangor",1800,1023,3.0,2.0,Condominium,Partially Furnished,"Persiaran Kemuning Prima, 40460 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Riana Green East, Wangsa Maju, Kuala Lumpur",3200,1909,4.0,3.0,Condominium,Fully Furnished,"Jalan Wangsa Delima 7, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Tanjung Park Condominium, Tanjong Tokong, Penang",1800,950,3.0,2.0,Condominium,Fully Furnished,"Persiaran Lengkuas 2, Taman Seri Tanjung, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Club house, Squash Court",False
"Kepayang Oasis, Ipoh, Perak",1600,900,3.0,2.0,Condominium,Fully Furnished,"Jalan Kepayang Oasis, 31400 Ipoh, Perak",Ipoh,Perak,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",False
"Dengkil, Selangor",1250,1300,3.0,2.0,1-storey Terraced House,Partially Furnished,"Dengkil, Selangor",Dengkil,Selangor,Parking,False
"Sungai Lalang, Kedah",1500,675,4.0,3.0,Bungalow House,Not Furnished,"Sungai Lalang, Kedah",Sungai Lalang,Kedah,"Parking, Security, Swimming Pool, Club house, Jogging Track",False
"Prince Tower, Kota Kinabalu, Sabah",4200,2775,5.0,5.0,Condominium,Fully Furnished,"Off Jalan UMS, 1 Borneo Hypermall, 88400 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Club house",False
"Menara Greenview, Jelutong, Penang",600,500,6.0,1.0,Condominium,Fully Furnished,"No.18, Halaman Tembaga, Taman Greenview, 11600 Jelutong, Penang",Jelutong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Squash Court",False
"Pangsapuri Damai Mewah B, Kajang, Selangor",900,957,3.0,2.0,Apartment,Partially Furnished,"Jalan Damai Mewah 2, Taman Damai Mewah, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area",False
"Bukit Mertajam, Penang",2500,2160,4.0,3.0,Semi-Detached House,Fully Furnished,"Bukit Mertajam, Penang",Bukit Mertajam,Penang,None,False
"Others, Selangor",2600,2500,6.0,6.0,Semi-Detached House,Not Furnished,"Others, Selangor",Others,Selangor,"Parking, Security",False
"Grace Residence, Jelutong, Penang",2800,1646,4.0,3.0,Condominium,Fully Furnished,"No.6, Jalan Ahmad Nor, 11600 Jelutong, Penang",Jelutong,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",False
"Pangsapuri Seroja @ Setia Alam, Shah Alam, Selangor",900,650,3.0,2.0,Apartment,Not Furnished,"U13/50, Seksyen U13, 40170 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Playground, Minimart, Multipurpose hall",False
"Ataraxia Park @ Forest City, Gelang Patah, Johor",999,835,2.0,2.0,Condominium,Partially Furnished,"Jalan Forest City - Lebuhraya Tanjung Pelepas, 81550 Gelang Patah, Johor",Gelang Patah,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Sikamat, Negeri Sembilan",1200,1680,3.0,2.0,Townhouse,Not Furnished,"Sikamat, Negeri Sembilan",Sikamat,Negeri Sembilan,"Parking, Security, Playground, Minimart",False
"Petaling Jaya, Selangor",2200,1300,3.0,2.0,1-storey Terraced House,Partially Furnished,"Petaling Jaya, Selangor",Petaling Jaya,Selangor,"Parking, Playground, Minimart, Jogging Track",False
"Surin, Tanjung Bungah, Penang",2000,1307,3.0,2.0,Condominium,Fully Furnished,"Solok Tanjung Bungah, Off Persiaran Tanjung Bungah, 11200 Tanjung Bungah, Penang",Tanjung Bungah,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna",False
"Kajang, Selangor",2200,1459,5.0,5.0,2.5-storey Terraced House,Partially Furnished,"Kajang, Selangor",Kajang,Selangor,"Parking, Playground",False
"ARIA Luxury Residence, KLCC, KLCC, Kuala Lumpur",8000,1159,2.0,2.0,Service Residence,Fully Furnished,"No.213, Jalan Tun Razak, 50450 KLCC, Kuala Lumpur",KLCC,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Gymnasium, Barbeque area",False
"E Residence @ Telipok, Telipok, Sabah",1500,1029,3.0,2.0,Apartment,Partially Furnished,"Jalan Giling Tengah Rugading, 89200 Telipok, Sabah",Telipok,Sabah,"Parking, Security, Lift, Playground, Jogging Track",False
"M Vertica, Cheras, Kuala Lumpur",3190,850,3.0,2.0,Condominium,Fully Furnished,"Off Jalan Cheras, Taman Pertama, 56000 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall, Jogging Track, Tennis Court",False
"Crescent Bay Suites, Johor Bahru, Johor",2100,800,2.0,2.0,Service Residence,Fully Furnished,"Jalan Bayu Puteri 2, Taman Bayu Puteri, 80150 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Swimming Pool, Gymnasium, Barbeque area",False
"Desa Impiana, Puchong, Selangor",1400,1068,3.0,2.0,Apartment,Partially Furnished,"Taman Puchong Prima, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Lagoon Perdana, Petaling Jaya, Selangor",1700,900,3.0,2.0,Apartment,Fully Furnished,"Jalan PJS 9/1, Bandar Sunway, 46150 Petaling Jaya, Selangor",Petaling Jaya,Selangor,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",False
"Lido Four Seasons Residence, Kota Kinabalu, Sabah",1800,1040,3.0,2.0,Condominium,Fully Furnished,"Off Jalan Lintas, 88200 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",False
"Batu Ferringhi, Penang",3000,2872,5.0,5.0,Semi-Detached House,Fully Furnished,"Batu Ferringhi, Penang",Batu Ferringhi,Penang,Parking,False
"Dian Residency @ Shah Alam, Shah Alam, Selangor",2400,910,3.0,2.0,Service Residence,Partially Furnished,"Tadisma Business Park Seksyen 13, 40100 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Club house, Jogging Track",False
"Seputeh, Kuala Lumpur",5500,5700,4.0,3.0,Bungalow House,Not Furnished,"Seputeh, Kuala Lumpur",Seputeh,Kuala Lumpur,"Parking, Playground, Minimart, Jogging Track",False
"Imperial Residence Cheras, Cheras, Selangor",1250,1139,2.0,1.0,Condominium,Partially Furnished,"Jalan Mas Utama Off Cheras-Kajang Highway, Taman Sri Aman, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Celesta Residency, Bayan Lepas, Penang",2300,850,2.0,2.0,Condominium,Fully Furnished,"Tingkat Bukit Kecil, Off Jalan Sultan Azlan Shah, 11950 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Ipoh, Perak",1200,1400,4.0,3.0,2-storey Terraced House,Partially Furnished,"Ipoh, Perak",Ipoh,Perak,None,False
"Setia Pinnacle, Sungai Ara, Penang",1500,1095,3.0,2.0,Condominium,Partially Furnished,"Changkat Sungai Ara 6, Setia Greens, 11900 Sungai Ara, Penang",Sungai Ara,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",False
"Traders Park Residence, Cheras, Selangor",2500,852,3.0,2.0,Service Residence,Fully Furnished,"Jalan Suakasih, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Bayan Lepas, Penang",1900,2000,4.0,3.0,2-storey Terraced House,Not Furnished,"Bayan Lepas, Penang",Bayan Lepas,Penang,None,False
"D' Pristine @ Medini, Iskandar Puteri, Johor",3000,1308,4.0,3.0,Service Residence,Fully Furnished,"Jalan Medini Utara 1, 79200 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Gymnasium",False
"Taman Cahaya, Ampang, Selangor",850,500,2.0,1.0,Flat,Partially Furnished,"Jalan Cahaya 14, Taman Cahaya, 68000 Ampang, Selangor",Ampang,Selangor,Parking,False
"DK Impian, Shah Alam, Selangor",1500,839,3.0,2.0,Service Residence,Fully Furnished,"Jalan Uranus U5/125, Subang Pelangi, 40150 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Durian Tunggal, Melaka",900,1180,4.0,3.0,2-storey Terraced House,Partially Furnished,"Durian Tunggal, Melaka",Durian Tunggal,Melaka,None,False
"The Quartz Residence, Melaka City, Melaka",1300,484,1.0,1.0,Condominium,Fully Furnished,"Jalan Siantan 2/6, Taman Kenanga Seksyen 3, 75200 Melaka City, Melaka",Melaka City,Melaka,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Multipurpose hall",False
"Seasons Luxury Apartments @ Amara Larkin, Johor Bahru, Johor",1900,1000,2.0,2.0,Apartment,Fully Furnished,"Jalan Larkin, Taman Dato Onn, 80350 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Berlian Setapak 2 Residences, Setapak, Kuala Lumpur",1600,901,3.0,2.0,Condominium,Partially Furnished,"Jalan Semarak Api, 53100 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Melaka Tengah, Melaka",1500,4000,4.0,2.0,Bungalow House,Not Furnished,"Melaka Tengah, Melaka",Melaka Tengah,Melaka,Security,False
"PPA1M Mercu Jalil, Bukit Jalil, Kuala Lumpur",1600,1200,3.0,2.0,Apartment,Partially Furnished,"Jalan Jalil Impian, Off Jalan Bukit Jalil Indah, 57000 Bukit Jalil, Kuala Lumpur",Bukit Jalil,Kuala Lumpur,"Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track",False
"The Holmes 2, Cheras, Kuala Lumpur",1999,1000,3.0,2.0,Condominium,Fully Furnished,"Jalan Jujur, Bandar Tun Razak, 56000 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",False
"Cheras, Kuala Lumpur",2500,1540,4.0,3.0,2-storey Terraced House,Partially Furnished,"Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Parking, Playground",False
"Pangsapuri Taman Nagasari, Perai, Penang",650,720,3.0,1.0,Apartment,Not Furnished,"Lorong Nagasari 20, Taman Nagasari, 13600 Perai, Penang",Perai,Penang,Parking,False
"Ipoh, Perak",1500,1610,5.0,4.0,3-storey Terraced House,Partially Furnished,"Ipoh, Perak",Ipoh,Perak,None,False
"The Holmes Bandar Tun Razak, Cheras, Kuala Lumpur",2500,1500,3.0,2.0,Condominium,Fully Furnished,"Jalan Bakti, Bandar Tun Razak, 56000 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Sungai Buloh, Selangor",1300,1694,4.0,3.0,2-storey Terraced House,Not Furnished,"Sungai Buloh, Selangor",Sungai Buloh,Selangor,None,False
"Almas Suites @ Puteri Harbour, Iskandar Puteri, Johor",1700,850,1.0,1.0,Service Residence,Fully Furnished,"Persiaran Dato' Seri Amar, Iskandar Puteri, 79100 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"Batu Berendam, Melaka",1200,1300,4.0,3.0,2-storey Terraced House,Not Furnished,"Batu Berendam, Melaka",Batu Berendam,Melaka,None,False
"Skudai, Johor",2000,1400,4.0,3.0,2-storey Terraced House,Partially Furnished,"Skudai, Johor",Skudai,Johor,None,False
"Alam Damai Condominium, Kota Kinabalu, Sabah",2300,1006,3.0,2.0,Condominium,Fully Furnished,"Jalan Bukit Padang, Off Jalan Tuaran, 88300 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Club house, Jogging Track",False
"Bandar Perda, Penang",1700,1500,3.0,2.0,Cluster House,Not Furnished,"Bandar Perda, Penang",Bandar Perda,Penang,"Parking, Minimart, Jogging Track",False
"Mori Residence, Rawang, Selangor",1700,872,3.0,2.0,Condominium,Partially Furnished,"Persiaran Anggun, Sungai Bakau, 48000 Rawang, Selangor",Rawang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Kulim, Kedah",1000,1300,3.0,4.0,1-storey Terraced House,Partially Furnished,"Kulim, Kedah",Kulim,Kedah,None,False
"Bukit Mertajam, Penang",1500,2350,4.0,3.0,2-storey Terraced House,Not Furnished,"Bukit Mertajam, Penang",Bukit Mertajam,Penang,Parking,False
"Kondominium Datin Halimah, Johor Bahru, Johor",2100,1050,3.0,2.0,Condominium,Fully Furnished,"Jalan Datin Halimah, Kampung Muafakat, 80350 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Royale Infinity, Simpang Ampat, Penang",1200,707,1.0,1.0,Studio,Fully Furnished,"Lorong Lembah Indah 1, 14100 Simpang Ampat, Penang",Simpang Ampat,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Tropicana Bay Residences @ PWC, Bayan Lepas, Penang",1800,850,2.0,1.0,Condominium,Fully Furnished,"Off Persiaran Byan Indah, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Club house, Tennis Court, Squash Court",False
"Kulim, Kedah",1000,1400,3.0,2.0,1-storey Terraced House,Partially Furnished,"Kulim, Kedah",Kulim,Kedah,None,False
"Icon Residence (Mont Kiara), Solaris Dutamas, Kuala Lumpur",2500,785,1.0,1.0,Condominium,Fully Furnished,"Persiaran Dutamas, 50480 Solaris Dutamas, Kuala Lumpur",Solaris Dutamas,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",False
"Country Garden Central Park (Serviced Apartment), Tampoi, Johor",1500,450,1.0,1.0,Service Residence,Fully Furnished,"Jalan Bukit Aliff Utama, Taman Damansara Aliff, 81200 Tampoi, Johor",Tampoi,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",False
"La Vista Condominiums, Puchong, Selangor",1600,1365,4.0,3.0,Condominium,Partially Furnished,"Jalan Tempua 2, Bandar Puchong Jaya, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Tennis Court",False
"Melaka Tengah, Melaka",1700,1540,4.0,3.0,2-storey Terraced House,Partially Furnished,"Melaka Tengah, Melaka",Melaka Tengah,Melaka,None,False
"Alam Impian, Selangor",2900,2800,4.0,3.0,2-storey Terraced House,Fully Furnished,"Alam Impian, Selangor",Alam Impian,Selangor,"Parking, Security, Playground, Multipurpose hall, Jogging Track",False
"R&F Princess Cove, Johor Bahru, Johor",3500,838,2.0,2.0,Service Residence,Fully Furnished,"Jalan Tanjung Puteri 1, Tanjung Puteri, 80300 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The M @ Medini Macrolink, Iskandar Puteri, Johor",2100,678,2.0,1.0,Service Residence,Fully Furnished,"Persiaran Medini Sentral 1, 79250 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Vivo Executive Apartment, Batu Kawan, Penang",1100,730,3.0,2.0,Service Residence,Partially Furnished,"Persiaran Cassia Barat 7, Bandar Cassia, 14110 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Harmoni Apartment, Damansara Damai, Selangor",570,650,3.0,2.0,Apartment,Not Furnished,"Jalan PJU 10/4C, 47830 Damansara Damai, Selangor",Damansara Damai,Selangor,"Playground, Minimart",False
"V21 Residence, Kota Kinabalu, Sabah",1300,607,2.0,1.0,Condominium,Fully Furnished,"Jalan 2b Kkip Selatan, 89200 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Swimming Pool, Playground, Multipurpose hall, Club house, Jogging Track",False
"Kelisa Residence, Perai, Penang",1300,1350,3.0,2.0,Condominium,Partially Furnished,"Jalan Kelisa Emas 7, Taman Kelisa Emas, 13700 Perai, Penang",Perai,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Multipurpose hall",False
"TRIO by Setia, Bandar Bukit Tinggi, Selangor",3500,1248,3.0,3.0,Service Residence,Fully Furnished,"Lot 82623, Jalan Langat, Bandar Bukit Tinggi 1, 41200 Bandar Bukit Tinggi, Selangor",Bandar Bukit Tinggi,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Vertu Resort @ Aspen Vision City, Batu Kawan, Penang",1500,1000,3.0,2.0,Condominium,Partially Furnished,"Persiaran Cassia Barat 6, Bandar Cassia, 14100 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Residensi KepongMas, Kepong, Kuala Lumpur",1400,900,3.0,2.0,Apartment,Partially Furnished,"Jalan Metro Perdana Barat, Taman Usahawan Kepong, 52100 Kepong, Kuala Lumpur",Kepong,Kuala Lumpur,"Parking, Security, Lift, Playground, Multipurpose hall",False
"Kota Kinabalu, Sabah",2600,1800,4.0,4.0,2-storey Terraced House,Partially Furnished,"Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,None,False
"Alila2, Tanjung Bungah, Penang",5500,1900,3.0,2.0,Condominium,Fully Furnished,"Off Lebuh Lembah Permai 1, 11200 Tanjung Bungah, Penang",Tanjung Bungah,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Tennis Court",False
"Ampang, Kuala Lumpur",2500,1120,3.0,2.0,2-storey Terraced House,Partially Furnished,"Ampang, Kuala Lumpur",Ampang,Kuala Lumpur,Parking,False
"MH Platinum Residency, Setapak, Kuala Lumpur",1650,682,2.0,1.0,Apartment,Fully Furnished,"Jalan Gombak Sejahtera, Taman Tai Onn, 53000 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Metropol, Bukit Mertajam, Penang",1400,1083,3.0,2.0,Condominium,Partially Furnished,"Jalan Perda Utara 1, Bandar Baru Perda, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Swimming Pool, Gymnasium, Sauna, Barbeque area",False
"Alila Horizon, Tanjung Bungah, Penang",2500,1388,3.0,2.0,Condominium,Fully Furnished,"Lorong Kejora, OFF Lorong Lembah Permai 8, 11200 Tanjung Bungah, Penang",Tanjung Bungah,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Shah Alam, Selangor",2000,2555,5.0,4.0,Semi-Detached House,Not Furnished,"Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Playground, Jogging Track",False
"Tiara Faber, Taman Desa, Kuala Lumpur",1600,1250,3.0,2.0,Condominium,Fully Furnished,"Jalan Desa Bakti 1, Taman Desa, 58100 Taman Desa, Kuala Lumpur",Taman Desa,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Club house, Jogging Track, Tennis Court, Squash Court",False
"Medini Signature, Iskandar Puteri, Johor",2500,1200,3.0,3.0,Condominium,Fully Furnished,"Persiaran Medini Utara 3, Medini Iskandar Malaysia, 79250 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Penampang, Sabah",2600,1800,4.0,4.0,2-storey Terraced House,Not Furnished,"Penampang, Sabah",Penampang,Sabah,None,False
"Vista Bangi, Kajang, Selangor",2300,1000,3.0,2.0,Service Residence,Fully Furnished,"Jalan Reko, Kampung Sungai Tangkas, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall",False
"Lily & Jasmine, Johor Bahru, Johor",1300,1024,3.0,2.0,Apartment,Fully Furnished,"Jalan Titiwangsa Utama, Taman Tampoi Indah, 81200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Playground, Barbeque area, Minimart",False
"Orange BM, Bukit Mertajam, Penang",1600,950,3.0,2.0,Condominium,Partially Furnished,"Jalan Song Ban Kheng, Taman Bukit Kecil, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Suasana @ Utropolis, Batu Kawan, Penang",1450,930,2.0,2.0,Service Residence,Fully Furnished,"Persiaran Cassia Barat 3, Bandar Cassia, 14100 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",False
"OUG Parklane, OUG, Kuala Lumpur",1150,950,3.0,2.0,Service Residence,Partially Furnished,"Jalan 1/152, Off Jalan Puchong, 58200 OUG, Kuala Lumpur",OUG,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground",False
"Paya Rumput, Melaka",1500,6400,4.0,2.0,Bungalow House,Partially Furnished,"Paya Rumput, Melaka",Paya Rumput,Melaka,None,False
"Alor Setar, Kedah",2200,1800,4.0,3.0,2-storey Terraced House,Partially Furnished,"Alor Setar, Kedah",Alor Setar,Kedah,None,False
"Platinum Lake PV 21, Setapak, Kuala Lumpur",1500,1200,3.0,2.0,Service Residence,Not Furnished,"Jalan Usahawan 2, Off Jalan Genting Kelang, 53300 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",False
"Bay Point @ Country Garden Danga Bay, Johor Bahru, Johor",1850,700,2.0,1.0,Condominium,Fully Furnished,"Off Lebuh Skudai, 80200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Telok Panglima Garang, Selangor",4300,3060,4.0,5.0,Semi-Detached House,Fully Furnished,"Telok Panglima Garang, Selangor",Telok Panglima Garang,Selangor,None,False
"Verdi Eco-dominiums @ Symphony Hills, Cyberjaya, Selangor",1700,700,1.0,1.0,Condominium,Fully Furnished,"Off Persiaran Bestari, Symphony Hills, Cyber 9, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The Tamarind @ Seri Tanjung Pinang, Tanjong Tokong, Penang",3000,1049,3.0,2.0,Condominium,Fully Furnished,"Jalan Seri Tg Pinang Seri Tanjung Pinang, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Pengerang, Johor",2400,1080,4.0,3.0,2-storey Terraced House,Fully Furnished,"Pengerang, Johor",Pengerang,Johor,"Parking, Security, Playground",False
"Verdi Eco-dominiums @ Symphony Hills, Cyberjaya, Selangor",1699,700,1.0,1.0,Condominium,Fully Furnished,"Off Persiaran Bestari, Symphony Hills, Cyber 9, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",False
"Mutiara Fadason, Jinjang, Kuala Lumpur",1000,650,3.0,1.0,Apartment,Fully Furnished,"Jalan 2/17, Off Jalan Kepong, 52000 Jinjang, Kuala Lumpur",Jinjang,Kuala Lumpur,"Parking, Playground, Minimart",False
"The Olive, Sepang, Selangor",1300,818,3.0,2.0,Condominium,Not Furnished,"Jalan Sunsuria 1, Bandar Sunsuria, 43900 Sepang, Selangor",Sepang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"Meridin Suites Residences @ The Meridin, Iskandar Puteri, Johor",1400,447,1.0,1.0,Apartment,Fully Furnished,"Persiaran Medini Utara 3, Off Lebuh Medini Utama, 79250 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"The Maple Residences, Old Klang Road, Kuala Lumpur",2500,808,3.0,2.0,Condominium,Partially Furnished,"Jl. 2/149, Bandar Baru Sri Petaling, 58200 Old Klang Road, Kuala Lumpur",Old Klang Road,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",False
"Dahlia Impiana, Salak Tinggi, Selangor",1200,700,3.0,2.0,Apartment,Partially Furnished,"Jalan Dahlia 6/3, Taman Dahlia, 43900 Salak Tinggi, Selangor",Salak Tinggi,Selangor,"Parking, Security, Playground",False
"Taman Pulai Utama, Skudai, Johor",1000,950,3.0,2.0,Flat,Partially Furnished,"Jalan Pulai 84, Taman Pulai Utama, 81300 Skudai, Johor",Skudai,Johor,"Parking, Playground, Minimart",False
"Puchong, Selangor",1700,1430,4.0,3.0,2-storey Terraced House,Not Furnished,"Puchong, Selangor",Puchong,Selangor,"Parking, Playground, Minimart",False
